hub	网络中心
igneous	火成的
beauty	美景
favorite	心腹
cumbersome	麻烦
follicular	滤泡
propagator	传播者
driver	驾驶员
pintado	大西洋马鲛
pat	恰好的
taboo	禁忌
udt	一致性数据传输
underclothed	穿衣过少的
roselike	像玫瑰
prestigious	声望很高
adoringly	崇拜
fenian	芬尼亚会会员
conchoid	贝壳状
recur	再来
suspender	吊裤带
uncivil	粗野的
apothecary	药师
ametabolic	不变形的
picara	女流氓
lowlands	苏格兰东南部的低
oviform	卵形的
stereoscopically	实立体镜地
cummer	女人
riotous	骚乱
rugged	粗糙的
rake	倾斜
connectionless	无连接
rvsvp	s
pegmatite	结晶花岗岩
lightness	轻盈
gasifiable	可转化成气体
knavery	流氓行为
nubbly	多瘤的
unhired	未租用
degenerative	变质的
craziness	狂热
sporadosiderite	含有铁粒的陨石
flush	使齐平
joint	连接的
grissino	棍形面包
draggy	拖拉的
spook	幽灵
foolproof	极坚固
unsoiled	未弄脏
irrevocably	不能撤回地
defective	欠缺的
feazings	拆散的绳端
profound	造诣深的
exemplify	例证
fulgor	光亮
filer	锉磨工人
clannishly	派系地
annex	附加
hemoglobinuria	血红素尿
catechetics	问答式教学法
superplastic	超塑性材料的
defile	隘路
consumedly	格外地
incompletion	不完全
cognitive	有感知
log	伐木
trifid	三裂
sheerly	全然地
clericalize	使当牧师
upcast	排气竖坑
gentlewomanly	淑女的
russell	此整流器发明人]
fulling	漂洗法
eccentrically	反常地
organdie	一种细薄的棉织品
gso	Officer一般参谋
mattress	沉床
precompensation'	NULL)
exterior	表面的
koulibiaca	=coulibiac
unparallel	不平行的
amphiaster	双星型
nannofossil	微型浮游生物化石
incompatible	不调和的
opium	用鸦片处理
qr	queen''s
unfailingly	不倦地
smolt	两岁大的小鲑鱼
denitrator	除氮器
characterless	缺乏特征的
poppycock	胡说
gene	基因
tradition	传统
surgeonfish	热带鱼的一种
pneumogastric	肺和胃
tannate	丹宁酸盐
rich	有钱的
incarnate	肉色
xiphosuran	剑尾目动物的
studious	热心
regurgitation	回流
wrongly	错误
casuistics	决疑论
gypsy	吉普赛人
stoneware	瓷器
airwaves	电视广播
seigniorage	货币铸造税
umbelliferous	伞状花科
empirism	经验论
unhasty	不匆忙的
ppb	part
escheat	承受转归领主的土地
unfaithful	不诚实
matricentred	母权
henbane	天仙子
isometric	等大
mycostat	防霉菌剂
ecofreak	起劲的环境保护论者
scout	守候
whiff	一阵香气
symbolistic	象征性的
solitude	孤独
putter	行为懒散
tremendous	巨大的
unprejudiced	无偏见的
urceolate	坛状的
character	刻
anachronous	年代错误的
prefrontal	额叶前部的
macroevolution	种外进化
ensample	举例
bimillennial	两千年
afterripening	后熟作用
windiness	多风
eyeable	可见
excise	切除
fense	篱笆
litek	莱泰克
inseparate	不分开的
affective	情感
present	出席
slip	摆脱
evadingly	推托
fantasticate	空想
praetorian	执政官的
frothy	起泡的
backboned	有脊椎骨
cubit	腕尺
lawgiver	立法者
mangily	生满疥癣
protrusive	推出的
trot	忙碌
bib	工作服的上部
teriyaki	红烧的
treachery	背信弃义
christly	如耶稣一样的
effable	可表达的
knottily	有结
belted	佩礼带
towery	有塔的
lairy	艳俗
factor	代理人
superweak	超弱的
chait	印度历的1月
spacious	大规模的
hepaticoenterostomy	肝管肠吻合术
undressed	穿着便服
umbrageously	浓荫
detail	细节
lance	捕鲸枪
meatman	屠夫
leave	请假
parsifal	帕西发尔
scant	缺乏
late	新近
toastmistress	宴会女主持人
tautosyllabic	同音节的
subclass	子集
flunk	放弃
ogive	尖顶拱
aerofoil	机翼
exquisitely	敏锐地
basis	基础
dingily	邋遢地
crumbly	易碎
alack	呜呼
pshaw	表示不耐烦
comedy	喜剧性的事情
oman	阿曼
antichristianism	反基督教
purlieu	界限
centesis	穿刺术
palship	伙伴关系
paper	纸上
constant	恒量
oxidant	氧化剂
matrilocal	入赘的
adiaphorous	不偏不倚
archil	海石蕊
microbic	=microbial
dog	尾随
rancor	深仇
mammiferous	哺乳动物的
tipcat	棒打游戏
fruition	结果实
dumb	不说话的
confiture	果酱
vliw	超长指令字
stubbed	粗短的
unharmed	太太平平
whare	房屋
endobiotic	生物内生
autophyte	自养植物
heterogeny	世代交替
ultramarine	群青色的
gosport	通话软管
demoralization	纪律松弛
chivaree	嘈杂
centralization	集中
drivership	保养和维修技术
