whorfian	沃夫假说
jacobian	的理论的
petroleuse	用火油纵火的女子
compliably	依从
temporal	世俗
rehabilitation	复原
tumultuate	使骚动
shipment	装船
geopolitician	地缘政治学者
partner	股东
synchronicity	同步性
blaze	火焰
cougar	美洲狮
hackle	针排
luteotropin	=luteotrophin
gynaecoid	似女性
most	多数
foist	硬卖给
assumed	假定
southward	向南的
hyperbole	夸张法
electrostriction	电致伸缩
coagulatory	凝结的
emanant	发射
edo	Data
jd	Jurum
utp	Twisted
plebiscite	公民投票
dullish	昏暗
completely	完全
avian	鸟类的
rumply	弄绉
eradicator	根除的人
fuddle	使迷糊
potatory	饮酒的
face	地形
pulse	脉冲
eec	Emission
contrariously	相反地
polysulphide	多硫化物
satay	=satai
diestock	螺丝攻
unadaptable	不能改编的
chirograph	任何正式签字的文件
correlative	关联
disinvestment	收回投资
acclamation	赞成
unexcited	不兴奋的
larcener	盗窃犯
biased	结果偏倚
warden	区长
sutural	缝口的
vvip	very
cool	淡漠的
overcome	战胜
sleepful	睡得很安宁的
ridgel	=ridgeling
pinocytotic	胞饮作用形成
semidiurnal	12小时的
dipteral	四周双列柱廊式
dorset	of多西特
astronomy	天文学
maneating	食人
level	平坦
martemper	使分级淬火
typhous	斑疹伤寒症
aeolotropy	各向异性
castrate	删除
whim	反复无常
candida	坎迪德
frequently	频繁地
contradance	对面舞曲
chromatolysis	染色质色原溶解
unseen	未见过的
metatarsus	跖骨
bolt	上门闩
lincolnite	林肯拥护者
nllst	Lending
strangulation	压缩
inexpectant	未预期的
witchetty	grub
reenlistment	延长服役期限
coruscation	闪光
manifer	护手铠甲
enumerably	可列举地
unimaginative	缺乏想象力
ectosarc	原虫外膜
forget	忘记
policlinic	门诊部
erotological	色情文学的
decline	下降
land	国家、国土
igmp	Internet
euphroe	绳索收紧器
unpresumptuous	谦逊的
perambulatory	巡行
cud	反刍的食物
convolvulus	旋花植物
inextinguishable	压不住的
caudal	尾部的
ammonium	铵
duplicate	副
valuables	贵重物品
anik	"兄弟"号卫星
autogyro	旋翼飞机
intervene	干涉
geanticlinal	地背斜的
purpoint	point
incompetent	不合格的
smart	巧妙
hormuz	霍尔木兹海峡
ahg	globulin抗血友病球蛋白
pigout	一顿大吃
crosswind	横风
northernmost	最北
wittily	机敏地
piedmontese	皮埃蒙特
froward	刚愎的
snappish	急躁的
catalog	目录
abbreviatory	缩写的
tel	电话
unobstructed	不被阻塞的
waterproof	防水的
owlish	象猫头鹰的
strikingly	引人侧目地
outdoorsy	户外
poe	载货港
soak	浸
whither	去处
chionodoxa	四萼齿草
gold	金制
molasses	糖蜜
armamentarium	物质
abrupt	陡峭
piezometric	压力计的
adamite	裸体主义者
meccano	装配玩具
deadeye	三孔滑轮
pantagruelist	庞大固埃式人物
hyperoxemia	血酸性过强
infrasonic	次声所产生
rename	再命名
gibbose	凸状
aldo	奥尔多
analogic	类推的
mankind	男子
highland	丘陵地带
seem	似乎
calumniator	诽谤者
pipsqueak	矮小的人
garment	外衣
conquerable	可战胜
inquirer	调查者
anticodon	反密码子
brinded	有斑纹
cippus	古罗马
null	零
melodic	调子美妙
insufferably	不能忍受
sportsdom	体育圈
tumescent	肿起的
aquatone	用有感光胶的金属板做套色印刷的方法
pantie	s:
score	刻划
fuel	加燃料
fashionable	流行
seric	中国人
stupe	热湿布
asc	consciousness
silly	无助的
antiviral	抗滤过性病原体
toparch	小国统治者
ratiocination	推论
remarriage	再婚
nynorsk	尼诺斯克语
resident	居住的
co	Colombia
astuteness	精明
wetland	潮湿的土壤
ascomycetous	子囊菌类
sfx	special
obscene	猥亵的
breadthways	横地
waterworks	喷水装置
accused	被告
prehormone	前激素
sundial	日晷
didactical	教训的
tanniferous	生丹宁酸的
closet	厕所
fake	伪造
lithophile	亲岩性的
detrude	扔掉
limpet	帽贝
vallum	垒墙
winking	目语
groundage	进港税
ovoid	卵形体
fully	充分
rift	裂缝
hurriedly	仓促
tumescent	肿起
mpm	metres
sided	有边
