mao	毛式服装的
twinge	感到剧痛
roundeye	欧洲人
contubernal	亲密
historied	有历史
reproduce	繁殖
hetaerae	妓女
corned	盐腌
unbounded	极大
rmt	新马
aquiline	鹰的
visit	游览
squirely	乡绅
semplice	无装饰音的
knapper	破碎器
tamely	温顺
pentamer	五聚物
leadbelly	莱德贝利
edginess	刀口锐利
sorb	吸附
emit	发表
swart	恶性
songsmith	作曲家
suitable	相配
antepaschal	复活节前的
infuriate	狂怒的
administrant	行政官
riotous	暴动的
participialize	使分词化
ferule	戒尺
tilde	加在西班牙语n字上的发音符号
penoncel	=pencel
calvarial	颅盖
acidity	酸过多
safer	safe的比较级
dustup	吵闹
rediscount	再折扣
spread	展开
progenitrix	=progenitress
other	另外的
codex	规则
premature	早熟
interlay	插入中间
pinko	左倾
prosaically	平凡
dumb	哑
frond	植物体
intervolve	卷合
discolored	脱色的
telpher	缆车
sodomite	尸奸者
travelog	旅行记录片
prelapsarian	人类堕落前的
sitting	在任期中的
company	连
mazarine	深兰色的
gluttonous	贪吃的
retrofocus	反远距
oxford	牛津大学
traipse	闲逛
keyswitch	按键开关
episodic	插话式的
confirmable	可以确定的
trashy	无价值
yielding	易弯曲的
merciful	慈悲
conglutination	胶粘
phoenician	腓尼基的
aerocab	计程直升机
orthoclase	正长石
irenical	和平的
saprobial	衡量水生环境有机污染度的
slenderize	使苗条
osteosclerosis	骨硬化
photophilous	喜光的
atheroma	动脉粥样化
scopulate	帚状的
nippy	凛冽的
dreamful	梦多的
wildcatter	投机份子
plainspoken	直言不讳的
draughty	有隙缝风吹入
centerboard	中插板
ratemeter	记数率计
corned	弄成细粒
fragile	易碎
playboy	寻欢作乐的女子
bivariate	二变量
haymow	干草堆
rhyme	韵
monoacid	=monoacidic
invader	侵略者
bigotry	固执
rf	无线电射频
sprite	鬼怪
rsd	都柏林皇家学会
converse	颠倒的
galtonian	高尔顿著作的
antiproton	反质子
ardently	热心
caseophile	嗜干酪者
burst	突然破裂
calls	调用
undiluted	未冲淡的
lamprophonia	声音的响亮和清晰
fortnightly	每两星期一次的
intrastate	州内的
lacertine	蜥蜴
cornishman	康沃尔郡人
ridicule	奚落
scotland	苏格兰
antalgic	镇痛
remigration	再移民
jerk	反射
maravedi	西班牙金币
sigmoid	C形的
admeasure	分配
talc	滑石
msfm	Management
carices	carex的复数
enthralment	奴役
fall	秋天
ppm	minut
contrition	悔悟
xxx	X级片或内容
coactivated	共激活
highgate	海格特墓
carlovingian	加洛林王朝
anticyclonic	反气旋
faineancy	忽略
christie	=Christiania
noseless	无喷嘴
municipality	市政当局
fullery	漂布工场
facial	面部
benactyzine	胃复康
atonement	弥补
monistical	一元论
blur	污点
thwartships	横向
plattensee	=Balaton
jauntily	得意洋洋地
chemosmotic	化学渗透作用
skimo	爱斯基摩人
asce	美国土木工程师协会
choice	爱惜的
boy	孩子气的人
trivially	平凡
pityingly	同情地
radiotherapeutics	=radiotherapy
hindmost	最后面
adventuress	女冒险家
unmeditated	自发
pyroclastic	火成碎屑
plaint	诉苦
hemorrhage	出血
orthodoxy	正统
mouse	耗子
aggressive	侵略性
vulgarise	=vulgarize
diminutive	指小辞
granulate	成为粒状
fool	傻
gnomish	好戏弄的
nympholept	狂乱的人
faithfulness	忠诚
undying	不朽
via	经由
jingling	发叮当声
zoaea	=zoea
imagine	设想
micromesh	微型小网眼尼龙
hipped	着迷
purgatorial	涤罪的
infranics	红外线电子学
azure	蔚蓝
hyperpyretic	高烧
lammergeier	髭兀鹰
greyfish	角鲨
gappy	有缺口
dichogamic	雌雄异熟
reductor	还原器
bourtree	西洋接骨木
peacemaker	调解者
octahedrite	=anatase
pervasion	扩散
pettish	闹情绪的
work	职业
abscess	砂眼
prosaically	散文式
hallucinogen	迷幻剂
whole	完全
adjustability	适应性
shelter	身避处
sunlike	辉煌
cooperate	合作
bedrizzle	用细滴润湿
unbesought	未乞求
hub	网络集线器
tenson	论争诗
pretzel	一种脆饼干
warmly	暖和
chapped	有裂痕
woodcraft	林学
vanuatuan	瓦努阿图的
disenchanting	使不再着迷
responsive	作出响应的
cacodylic	四甲二砷的
dyehouse	染坊
filar	丝状的
civie	=civvy
wink	瞬间
karyotin	染色质
special	特别
multidialectal	种以上方言的
digitated	指状的
sublime	升华
ogreish	恐怖
remigrant	返回迁移昆虫
novelize	编成小说
dinkum	可靠的
mesquit	豆科灌木
firetrap	无太平门的建筑物
udt	Uniform
