dover	多佛
ablutionary	洗礼的
jiminy	敬畏时所用的感叹词
fishbone	鱼骨
magistrate	地方官员
lymphogranuloma	淋皉AnjJ9lEJmE`tEJs腿庋恐
stylistic	格式上
chummage	房租
unbroken	完整
dionysius	戴奥尼夏
inp	Number
jingoish	沙文主义的
mabe	and
instigation	n
reveler	摆设酒宴者
tanglesome	杂乱的
syphilitic	梅毒
empyemata'	NULL)
lumberly	笨重的
familiarity	通晓
wise	方式
babirusa	野猪
galilee	加利利
diazo	重氮基
mitral	礼冠的
weak	淡的
fatling	肥畜
antileukemie	抗白血病的
landau	同型的旧式汽车
zills	一对金属圆片
ungulate	有蹄类动物
pyramid	金字塔
periselenium	=perilune
cytotropic	细胞互向性
dahoon	美国冬青
sound	有效彻底
turgescent	肿的
obvert	将……之正面转向
heptanone	庚酮
terminally	一定时期地
fix	修理
serta	sertum的复数
doodling	乱画之物
erect	使竖立
killing	杀害
consistorial	宗教法院
cruiserweight	重量级拳击手
reblossom	再开花
unswear	违背誓言
facility	便利
cantonal	州的
costermonger	水果
appetite	食欲
bulky	容量大
aciduric	耐酸的
flambe	烧过
extractible	可提取的
originate	发明
maulana	毛拉
untrue	不忠实的
yanam	亚南
haar	哈雾
undoubled	不再握紧的
crispen	使鲜脆
lease	延续的一段时间
clubhand	畸形手
bipinnate	两羽状的
vacuous	茫然若失
passional	热情的
regurgitate	反刍
phleboid	静脉似
yttrialite	硅钍钇矿
jussive	祈使的
auscultator	听诊器
moulage	印痕
kilojoule	千焦耳
chlamydeous	有花被
chemosensory	化学感应的
kissinger	基辛格
piquant	兴奋的
hough	足部的脚腕
cankered	溃疡
mobster	歹徒
precalculus	学习微积分前必修
luffa	丝瓜
equal	均等
flintily	无情地
scrimpy	不足的
socially	在社会地位上
guage	进度指示
sickly	多病
inexpectant	未预期
quadratic	二次方程式
impar	不成对
delphi	Borland公司出品的面向对象开发软件包
arrowheaded	镞状的
incontrollably	不能控制地
hydrostat	水位计
novelle	中篇小说
caressing	表现爱情的
adoptionist	信仰耶稣是上帝义子学说的人
oxter	腋下
subofficer	下级军官
extemporize	即兴演奏
unconditional	无条件
nutter	拾坚果的人
underripe	未全熟
skunk	使惨败
strange	陌生的
insuperability	不能克服
transpose	转置阵
cystic	胆囊的
semipostal	附捐邮票
endoscopic	内窥镜
fustigate	用棍棒打
synsepalous	=gamosepalous
lopstick	棒状树
samarkand	撒马尔罕
flameout	熄火
extender	混合剂
proselyte	使改宗教信仰
pastelist	粉笔着色画家
joyful	兴高彩烈
depraved	颓废的
filigree	金银丝细工
bevy	一群人
entailment	继承人之限制
scale	攀登
keening	哀恸
inconducive	没有帮助
epicondyle	上髁
crablike	似蟹行般
cdsl	Client
pig	猪
uprise	起床
blastie	侏儒
asp	Provider
laze	闲散
rack	在饲草架装满干草
teemless	贫瘠
brainfag	脑疲劳
drudgery	苦工
vector	向量
pottage	肉汁
nonvocoid	非元音性音
chemotactically	趋化现象
wand	棒
umbilici	核心
famine	饥饿
conversion	变换
underspin	下旋
expressionistic	表现主义的
cheek	臀部
nauseating	恶心的
unconstraint	无拘无束
israelitic	犹太人
brazenly	厚脸皮
panniculus	膜
funked	发霉的
harmine	肉叶芸香碱
reforger	新造
millwright	造水车木匠
yardage	按码计算
incongruent	不一致的
resorcin	间笨二酚
matlock	马特洛克
premalignant	癌变前
microscopic	用显微镜可见的
semicontinuous	半连续
diachrony	历时分析
remove	迁移
unreversed	非反向
kaiserin	皇后
unmeasured	不可测量的
vasoconstrictor	血管收缩的
infamy	丑名
descriptive	描述的
songbird	女歌手
savage	粗鲁的人
mganga	土医生
juvenal	羽毛未丰
gat	get
lustful	贪欲
gravitas	庄严
bruce	布鲁斯
tchick	催马快跑所发之声
maker	上帝
interpolatory	撺改的
laminae	层
pyrometry	测高温
cairn	堆石界标
evangelic	福音
toughly	坚强
syntheses	综合体
bumf	公文
discomposure	心乱
sbn	标准书号
discoverture	未婚
figmentary	幻想
subapical	接近顶点的
natationist	游泳者
desolately	寂寞地
atomism	原子说
underwrite	签在……下
devalorize	使贬值
refluence	退潮
favonian	吉祥
triamcinolone	氟羟氢化泼尼松
fullface	黑体铅字
factually	确实
unwitnessed	未注意到的
intragroup	社会团体内部
ishikari	石狩湾
enregister	登记
katana	武士刀
millstone	粉碎器
chestful	一满箱之东西
doby	=adobe
neocosmic	新宇宙
electronic	电子的
radiator	辐射体
civil	全民的
tufty	多穗
corba	Object
eutomous	容易解裂
asi	airspeed
plotty	情节错综复杂
agazed	受惊吓
quatercentennial	400周年纪念的
jitterbug	神经质的人
tubicorn	有空角的
unevoked	非强制执行
churrigueresque	具有西班牙巴洛克建筑风格
manichaeus	即
remarkably	引人注目地
saturate	浸透
custom	习惯
being	生命
ravc	Corps
cassette	盒式磁带
isacoustic	等声强
autoinjector	自我注射器
arboraceous	树木状的
creepy	爬行的
