caudillismo	军事独裁者的统治
lawrentian	劳伦斯
quota	配额
knowledgeable	有见识的
heavier	沉重的
hydrosulfuric	含氢及硫
volcanically	火山似
serotype	决定……的血清型
vanish	突然不见
rammish	腥臊味
odeum	奏乐堂
preexilian	放逐前的
benignly	亲切
registered	已注册
revisionist	修正主义的
boatrace	赛舟
neuroendocrinology	神经内分泌学
algometrical	痛觉测验计的
uses	States
viatica	viaticum
smearcase	农家鲜干酪
balefire	焚化尸体的柴堆
fatimid	法蒂玛王朝君主
pleasure	快乐
linksland	海边沙丘地带
null	无效力
plasmal	体液素
stymy	从中作乱
viscidity	粘性
chop	商标
lending	出租物
hidrosis	发汗
labour	工作
frailly	不坚实
irregular	不规则
exhaustive	详尽的
sincere	真实的
puddingheaded	愚钝
degradedly	degradedness
limited	狭窄的
corrodibility	可腐蚀性
disruption	中断
rabble	用拨火棍搅动
platform	平台
dissociable	可分离的
zedzap	支持重传
caprylic	羊脂酸
carromata	畜力二轮车
demophobic	群众恐惧症
unreduced	未减少
inexistent	不存在
transformative	变形
dollop	块
resinoid	象树脂的
reserve	预约
adventurous	喜欢冒险
indecorous	不合礼节的
anna	安娜
arica	阿里卡
hurdling	跳栏赛跑
whitehanded	清白
movies	电影
jis	Japanese
footfall	脚步声
forestall	之前
lati	lat的复数
halt	使停止
sparkish	俊俏
misdemean	做不规矩事
sublime	异常的
caricaturist	讽刺画家
unfading	可靠的
hiding	隐匿
endorsee	承受背书票据者
diversely	各色各样地
featherwit	愚者
fetial	外交的
flatter	过分夸赞
envelop	信封
extra	额外的人临时演员
ungrateful	不领情的
medieval	仿中世纪的
undiscussed	未讨论过的
yahoo	美国Yahoo公司
exclusive	独占的
arm	臂状物
carefully	小心
space	一段时间
violence	暴力
constatation	真相
trike	三轮车
reinflame	使再次极度激动
tumultuously	骚乱地
drysalter	药品染料商
aftermentioned	后述的
favonian	西风
unlikelihood	未必有
unsure	不肯定的
sacred	庄严
panorama	全景画
privation	丧失
electrostatic	静电学的
unrwa	Nations
tricktrack	=trictrac
impeachment	弹劾
swarthy	浅黑
excruciation	拷问
segregate	隔离
lauraceous	月桂科属
banian	榕树
akademi	学术团体
boondagger	强悍的女人
touriste	旅游者腹泻症
snaky	蛇一般的
succinctly	简洁
excitement	刺激
wring	绞
pba	Administration
spasmodic	间歇性的
barbette	炮座
slimmer	减肥者
emblaze	颂扬
unhappy	不幸
immission	引入
negligent	疏忽的
drayman	运货马车车夫
emulously	好竞争地
cuvierian	居维叶分类法的
yabber	谈话
phrenetic	狂热
campus	大学教育
finnesko	挪威鹿皮靴
periphonic	全向声系统的
enemy	敌方的
semiprofessional	半职业性的
courageously	勇敢
sampling	取样
quintuplet	五件一套
iffy	有问题的
rateable	按比例
cavefish	洞穴鱼
congregationalist	公理会
monologuize	=monologize
lapstreak	=lapstrake
dietarian	吃规定饮食者
horoscope	诞生时的星位
glowing	容光焕发的
image	肖像
starched	拘泥刻板
volkspele	南非白人民间舞
decillion	decillion
benignly	仁慈地
princesse	公主装的
philogynous	喜欢女子的人
sceptical	怀疑的
grandioso	雄伟
soutache	饰带
commerciogenic	有市场吸引力的
limnological	湖沼学
spatiotemporal	时空
inedited	未经编辑
inched	英寸的
thermomagnetic	热磁
contempt	藐视法庭
owl	猫头鹰
hose	水龙带
stick	棒
fearless	勇敢的
xystus	古希腊室内运动场
functionality	泛函性
abuse	滥用
issueless	无子女的
tenorist	男高音歌手
dentinasal	齿鼻音的
medivac	=medevac
trooper	伞兵
tubectomy	输卵管切除术
possessed	疯狂的
mulatta	=mulattress
gfwc	Clubs妇女俱乐部总联合会
wither	感到羞愧
frank	免费邮寄特权
sublanguage	次语言
parabomb	带伞空投容器
scrapheap	废料堆
roughhewn	草率的
monadic	单孢体
boatload	一条船的货物
deathplace	临终之
bethel	圣地
squeezability	威吓
wilsonian	威尔逊的
jauntily	意洋洋
hydrocyanic	氰氢
sere	干枯
field	野生
seminiferous	产生精液
eternal	永远的
ato	安第斯共同市场
adolescence	青春期
apocryphal	假冒
fenestrated	有孔
constable	巡官
nesting	嵌套
undersong	隐匿之意义
breezy	活泼的
imposturous	欺骗的
nakedize	成为裸体
fame	名声
col	上校
vile	坏透的
trumpery	中看不中用的东西
closet	关入私室密谈
inconstantly	易变地
supernatural	神奇的
helminthology	肠虫学
svelte	苗条的
introit	圣餐式前所唱的赞美歌
scran	食物
vitally	紧要
gibberish	乱语
reversedly	反转
unclasp	打开
orientalism	东方民族特征
enigmatize	使不可解
unversed	无知
fumatory	烟薰室
claptrap	应景的
fractious	易怒的
fake	伪装
sorehead	落魄者
electroacoustic	电声
sextuple	由六个部分构成的
trigon	三角琴
modernday	现代
