verandah	阳台
rhythmicity	节奏性
antibiotic	抗生的
iridaceous	鸢尾科的
digenetic	世代交替
hypotrophy	不足生长
indeterministic	非命运论者的
jar	刺激
hushpuppy	油炸玉米饼
responsibility	职责
spicebush	山胡椒
pyloric	幽门的
vow	誓约
cremation	火葬
tweet	自录音再现装置发出的高音
lectorship	大学讲师教职
booby	呆子
hostage	抵押品
adrenocorticotro	亲肾上腺皮rophic/E`dri:nEJrophic
sepsis	脓血症
irreciprocal	非互惠
maniple	饰带
nonresistant	不抵抗
russetish	略带红褐色的
graininess	多粒的
aeroplane	飞机
irreproachable	无缺点的
futhorc	北欧古字母表
flintiness	冷酷
poltfooted	足畸形
downright	彻底
remorseless	不屈不挠的
procurement	获得
shekel	古希伯来或巴比伦的衡量单位
pine	憔悴
vellum	犊皮纸的
hope	盼望
wassat	=what''s
scanning	扫描
ducky	可喜的
cellulosic	有纤维质的
biomathematics	生物数学
scaphocephaly	舟状头
npl	国家物理实验所
corsetiere	女服胸衣商
undefiled	纯粹
destructor	垃圾焚毁炉
superrat	超常鼠
tribromoethyl	alcohol=tribromoethanol
ruthenium	钌
haematogenesis	生血
detached	分离的
erven	erf的复数
recapitulation	摘要重述
iba	Authority
speediness	迅速
lecherous	淫荡
scar	结疤
natiform	臀形的
rush	闯
cap	amplitude
explicative	阐明
assentor	赞同者
wassailer	祝酒者
loop	使成环
rate	价格
unknown	不知道的
gnathonic	谄媚
malodorous	有恶臭的
vermouth	苦艾酒
bromate	使与溴化合
gallnut	没食子
ponce	靠妓女为生的人
thatchy	多茅草的
bachelor	文理学士
pungent	严厉的
presenile	未老先衰的
spiritualization	精神化
litigant	诉讼人
yokefellow	配偶
archduke	大公
occultism	神秘论
stale	走味
lagging	绝缘层材料
escap	for
cespitose	丛生
craze	狂热
stoke	司炉
featly	伶俐地
urc	Citation
isogamous	同配生殖
bowls	保龄球
correlativity	相互关系
moneygrubbing	积蓄钱财的
transthoracic	经胸廓
freewheel	凭惯性前进
sapphiric	蓝宝石质的
steatite	块
hardtop	有金属顶盖的
nomad	游牧
ekistics	城高及区域的规划学
predicament	困境
typothetae	印刷业同业协会
britches	裤子
mitred	戴着主教冠的
jadishly	毫无价值地
appreciatory	欣赏力
saponated	与皂化合
toddy	棕榈汁
eelworm	线虫
unsound	不佳
dense	浓厚
mozzarella	色白味淡的
mutiny	反抗
broma	去油可可豆
irruptive	突入的
fortifiable	可以弄巩固的
plug	堵
definitive	权威性
swede	蕉青甘蓝
creophagy	食肉
harebrained	轻率的
dentary	牙齿
franciscan	圣芳济会
shopman	小商人
thersitical	谩骂的
sig	Interest
arrogancy	自大
acaudal	无尾的
chordoma	脊索瘤
canape	夹鱼子或小鱼的烤面包
briny	咸
exceeding	极度的
vantage	优势
droning	发嗡嗡声
eht	extra
lilongwe	利隆圭
criterion	规范
outset	开始
zigzag	弯弯曲曲
protege	被保护人
eel	油滑的人
microcosmic	微观
photoglyph	照相凹版
tripleheaded	三头
loofah	丝瓜
humanize	赋予人性
depreciate	降低
fixing	设备
navigation	航行
atremble	颤抖的
characterization	描述
compounder	部分还款者
humbly	谦恭地
gutty	挑动性
hypotyposis	生动的叙述
assimilative	同化力
enchylema	透明质
unpatterned	未形成模式的
jungian	易雍
scotticism	苏格兰方言
sloppy	肥大的
womanlike	女人似的
vernation	多叶卷叠式
maduro	色深味浓的烟草做
unwitting	不知情的
gangtooth	暴牙
paraplegic	截瘫患者
grisly	可怕
plowshare	犁头
doltish	愚钝的
mild	淡味
tensignal	以10开头的信号电码信号
aversion	厌恶
gotter	to
remonstrant	抗议的
attachable	可附上的
wimple	泛细浪
twine	细绳
pupillage	学生的身份
undulance	起伏
sulphisoxazole	磺胺二甲基异噁唑
scrappy	细小
presurgical	手术前的
anisodont	牙齿高低不齐
overmodest	过分谦虚
cantilever	悬臂
amort	无生气
ligule	舌叶
lippen	信托
cashoo	=catechu
conjugated	成对的
gwtw	With
hcl	of
snugly	整洁地
hight	名叫
centricity	中心
cracker	爆竹
causal	表示原因或理由
etypic	由某种形态转变
substantive	实词
clericalism	任圣职者不正常的政治势力
androphobia	憎恶男性病
histophysiological	组织生理组织生理学的
color	颜色
candid	公正的
noninitially	不是起首字母
bumptious	傲慢的
serve	供应
annihilable	可毁坏
khalifat	职权及领域
skein	群
nervy	有勇气
weeklong	为时一周的
facilitate	使便利
neoanthropic	智人的
pale	用栅栏围
habutai	全丝薄软绸
binge	狂欢
repristination	恢复原状
latter	较后的
goluptious	香喷喷
twine	合股线
flimsy	没有价值的
undoubtedly	确
mucin	粘液素
cladode	扁平的叶状茎
flory	θ温度
