trail	没精打采地走
alkanet	朱草
swakara	西南非洲波斯羊羔毛皮
sanguiferous	运血的
sanctimonious	假装神圣的
freethinking	自由思想的
fontal	泉的
expressible	可表现的
capriccio	恶作剧
pong	恶臭
liquefactive	液化
latticework	格子
tsarist	俄国帝制的
asthmatoid	似气喘的
maidenly	处女般的
indivertible	不能引开的
volume	量
outrageous	残暴的
unimpressionable	不易受影响
repository	贮藏室
learning	学习
steading	农场的建筑物
morganize	暗杀……以灭口
quirkish	双关语
constrained	被强迫
antalkali	抗碱剂
function	函数
apperceive	认识
terrify	使恐怖
firebase	重火力点
unwavering	坚定
porism	不定设题
inharmony	不和睦
teen	不幸
cymous	聚伞花序
closure	关闭
epitomize	概括
glaringness	显著
nickelous	亚镍的
visitorial	访问
duplicate	副的
apertured	有孔
protective	保护
schvartzer	黑人
scallop	干贝
filipinize	绝大部分以菲律宾人担任
haily	冰雹的
condignly	应当
aok	一切就绪!一切正常!
reckless	不计后果的
divisional	分割的
hithermost	最靠近
demurely	装成端庄
kmps	per
camboose	伐木者棚屋
elongate	延长
pellagrin	陪拉格病
embossment	浮凸装饰
proteus	多变的人
fluviatic	生长在江河中
abortive	异常终止的
libyan	利比亚人
aleuronic	糊粉的
senior	位较高
faultily	有缺点
increasable	可增加的
lairy	华丽而俗气
hombre	西班牙系的人
preside	主持
antiradical	反激进主义
russian	俄国人
frg	Federal
metaphysicize	形而上学地思考
intersexuality	兼具两性
affluently	富裕
lavishly	浪费
anisocytosis	红血球大小不等症
vxd	虚拟设备驱动程序
responsible	可依赖
deweyism	实用主义
calash	车篷
obsessive	分神的
americana	有关美国的文物
lathyritic	山黧豆中毒的
scum	糟粕
dispart	分
fat	文件分配表
karnataka	卡纳塔克邦(旧称迈索尔邦
creditability	可信性
flubdubbed	易犯错误
drumbeat	打鼓
quin	=quintuplet
nakedly	裸体地
funster	幽默家
erection	直立
generalise	=generalize
romanian	罗马尼亚人
aculeated	尖锐
entryman	公共土地侵占者
crowhop	蹦蹦跳跳地前进
tentative	暂定
forestall	阻止
cystinosis	胱氨酸病
brawn	强壮的肌肉
papilloma	乳突淋瘤
squally	天气愈变愈坏的
private	私有
exhalable	可吐出
abide	忍受
undermost	最下
crosswise	斜
calling	点名
cynical	愤世嫉俗
random	随意
unready	没有准备的
practicant	=practitioner
popie	罂粟花饰
nectar	花蜜
kelpy	马形水鬼
remanet	残余
mrs	Reference
joad	流动工人
outcrop	露出地面的岩层
apocalyptical	天启
stoplight	停止行进号志
hermes	material
include	包含
tell	告发
tuitionary	学费的
tired	疲劳
whort	=whortleberry
quadrilateral	四边地
uncharitable	无情
disappreciation	轻视
cisc	computing
ajar	微开的
towerless	无塔
nummulated	钱串状
sectarianism	派别心
monadic	单细胞生物的
dawdling	懒散
photolyze	进行光分解
lcd	Crystal
accompanyist	伴奏者
riot	暴乱
carrier	带菌者
multidimensional	多维的
calypso	卡里普索
fly	苍蝇
memory	记忆力
acpi	Power
sweety	甜点
uddered	有……之乳房的
haven	避难所
druidical	督伊德教
coextend	在同面积或长度扩张或伸张
enclisis	与前词连接发音
archangel	天使长
automatism	自动力
potash	碳酸钾
essay	小品文
pitch	定位于
scalewing	蝴蝶
groid	黑人
terror	恐怖时期
proletarianism	无产阶级性
macroglobulin	巨球蛋白
astrocyte	星细胞
lcp	Landing
plumb	使垂直
anamorphic	失真
abreact	发泄
laborite	劳工党党员
delomorphous	显形
depollute	防止污染
afdc	Children对有子女家庭补助计划
hallux	大拇趾
sacahuiste	诺力草
overgraze	过度放牧
wysbygi	What
feed	喂养
frothy	空洞的
anadiplosis	联珠法
keelyvine	=keelivine
metaphyte	后生植物
sinuous	不老实
owly	像鸮
brushhook	钩镰
empanada	肉馅卷饼
cisrhenane	莱茵河西岸的
apery	仿人
unwell	不舒服
adopt	收养
urge	强烈欲望
sinuous	错综复杂的
gorge	山峡
amerceable	可罚款
queenly	慷慨的
achaean	亚该亚
whirl	—连串快速的活动
northwesterly	从西北来的
caique	地中海轻帆船
godward	对神
pythonic	大蟒似的
tamburitza	坦姆布里扎琴
setigerous	=setiferous
wfd	of
locker	锁扣装置
cineangiogram	脉搏电影描记图
freeware	免费软件
