vacuome	液泡系
cancer	毒瘤
cmb	Bank
sublessor	转租出人
victress	女胜利者
phoenix	完美之物
former	从前
chut	咄!
peroxid	过氧化物
flooding	溢流
rugby	橄榄球
toplofty	自负
molina	de
dagger	用剑刺
cpa	加拿大太平洋航空
tripper	远足者
hike	远足
nonprotein	不含蛋白质
sat	sit的过去式
beagle	小猎犬
germinant	发芽
compounding	混合
anachronous	年代错误
cocky	自大
suspensive	未决定的
foreclose	预先处理
unliquidated	未清算的
dialyzate	=dialysate
minacity	威吓性
slipway	下水滑道
sumpter	赶驮兽的人
foolish	可爱
waywardly	刚愎地
fairytale	优美无比的
smacksman	小渔船的船员
rswc	side
antonymy	反义词组
triassic	三叠系的
cgh	Cape
mauve	紫红色
residency	住院医生实习期
manual	体力的
karyolymph	核液
inductile	不能延伸
muscatel	麝香葡萄
translucent	透明的
upperclassman	高年级学生
overprint	添印
resume	再继续
ammoniate	以氨处理
detrimental	有害的
guianese	圭亚那人的
uncorrectably	不能补救
pop	Post
scalper	黄牛
vigilantly	警觉地
viennese	德语维也纳方言
sporozoon	=sporozoan
pregnable	可攻击的
lumper	码头工人
primarily	主要
acclamation	拥护
adumbral	遮阳的
blowpipe	吹风管
autodestruction	art
inobtrusive	谦虚的
crossgrained	纹理不规则
manhunt	搜捕
driller	钻孔者
delustre	消去的光泽
auburn	赤褐色的
nabi	伊斯兰教的先知
pyrethroid	合成除虫菊酯
acrodromous	脉向尖聚集
subtype	图表类型
fy	fiscal
pyramidalist	埃及金字塔传说的解说者
run	使流
appurtenance	从属权利
cannonade	炮击
erosive	侵蚀性的
incestuous	乱伦
cytotropic	亲细胞
thermometrical	寒暑表的
streamy	流水般
redid	重做
nundine	市集日
unexcited	镇静
atonism	对太阳神阿托恩的崇拜
shortcake	脆饼的一种
humous	腐殖质的
spiel	故事
maternity	孕妇的
quarterdecker	高级船员
viron	瓦伊伦
forested	草木丛生的
marmot	土拨鼠
rhinolaryngitis	鼻喉炎
stearic	硬脂
ultrafine	非常细微
semiglazed	具半光泽的
princesse	紧身连衣裙的
incarnate	使成化身
buxom	体态丰满的
sedgeland	苔草
fixative	定影液
tarantism	跳舞病
catholicness	普遍性
mobster	匪徒
teleosaur	完龙
countrywoman	村姑
vain	愚蠢的
exsanguine	贫血症
region	地方
rhinestone	水晶之一种
dedalian	=Daedalian
downcast	气馁
guggle	人高兴发出的咯咯声
nationalism	民族独立运动
overhead	天花板
lithotomist	切石专家
steam	蒸
exospheric	外逸层的
alarming	使人惊动
breezy	通风好
airfreight	货物空运
probational	试用
mycophagist	食菌动物
theaceous	茶科
shady	多荫
cassie	卡西
informosome	信息体
therapeutics	治疗学
parabombs	集束炸弹
prolong	延长
rakish	轻快的
lomentaceous	具节荚的
spumescent	起泡沫的
glucosan	葡萄综合物
youthy	年轻的
eclaircissement	解说
flashback	倒叙
ncsa	National
cppcc	People''s
prayerless	不做祷告
plainspoken	直言不讳
savourless	不风趣
help	有用
custodial	保管人
biochemical	生物化学
shade	使阴暗
reverberatory	回响
savage	残忍
galenic	其医术的
social	群居
ungual	爪的
programmable	可编程的
asana	瑜珈的任何一种姿势
tragedian	悲剧演员
sdram	Synchronous
seething	火热的
bonkers	疯狂
ceremonial	正式的
glimmer	闪光
slim	细长的
fancy	想象
sedate	稳重
octocentenary	800年的
hypospray	无痛皮下喷射器
lichenometry	地衣测量年代法
extremity	非常手段
talc	用滑石粉擦
theater	全体观众
electronic	电子
envelop	遮盖
penetralia	密事
influencing	影响
night	黑暗
gallantly	漂亮
incontrollably	不能控制
cagy	小心
adversely	反对地
senior	资格较老
breathalyser	酒精测定计
perceptive	有理解的
ectype	复制品
compost	混合肥料
keynesian	凯恩斯理论
taxless	无税的
vitriolic	硫酸
ankerite	铁白云石
beelzebub	魔王
icccm	客户间通信约定
un	United
desmotropy	稳变异构
recliner	斜躺者
detractor	恶意批评者
disqualify	使丧失资格
frill	装饰
majorcan	马略卡岛
aboulia	意志力丧失
pigmentary	颜料的
foxy	狡猾
exculpatory	辩明无罪
