francophil	亲法
wickedly	不愉快地
bilection	=bolection
unsheltered	未遮盖的
shakeress	震颤派女教徒
brachycranial	圆颅型的
unleavened	未受激发的
agriculturist	农业家
penman	书法家
anthropopathism	神与人同感论
sticking	有粘性
summons	召集
theca	鞘
proofmark	验讫印记
ambivalent	矛盾的
destructively	破坏地
ait	河中的小岛
magniloquence	虚夸
thermophil	喜温生物
systematism	体系化
supergalactic	超星系的
squad	班
enveil	覆盖面罩
cowherb	麦蓝菜
residency	高级训练
strained	矫饰的
microphyte	细菌
cases	案例
preceptive	好教训人
floridity	脸色好
docking	入坞的
jalalabad	贾拉拉巴德
wholesaler	批发商
seriatim	逐一地
albumin	白蛋白
unsaleable	无销路
tdma	时分多路寻址技术
attache	大使随员
bisulfate	硫酸氢盐
smidgen	少量
militiaman	全体民兵
indention	锯齿状
ominous	不吉利
contradictory	抗辩的
unscrupulous	不谨慎
directorship	管理者的职位
lepidopteron	鳞翅类之昆虫
somatotrophic	hormone
frisk	快乐的时刻
erudite	博学
compression	浓缩
trapezia	梯形
vestibule	为……设门廊
feces	屎
stereotype	使用铅版
handwriting	笔迹
cephalometric	头部测量法
warrant	许可证
cambodia	柬埔寨
wandering	流浪的
thin	使变细
desiderative	愿望的
urgently	急切
needfire	篝火
whoopla	喧哗
slavophil	崇拜斯拉夫等者
neurotropism	趋向神经性
founder	中国最著名的电子照排系统的生产商
pbx	branch
reaper	收割机
inexpediency	不适当
tenpounder	海鲢
wonna	not
spatchcock	插入
objectivize	=objectify
divulgate	=divulge
dts	数字电影院系统
inflexible	不屈的
stamping	冲压
unpitied	没人同情
concutient	受到震荡性撞击的
obdurately	执拗
badmash	歹徒
spray	喷雾
caressing	亲切的
marshall	~
spice	情趣
undershot	下颚突出的
curling	头发的卷曲
publican	酒馆老板
quadricentennial	400周年纪念的
manger	挡水板
personal	人身的
rapturously	兴高采烈
cocker	放纵
amortisation	摊还
semiurban	半都市的
delicate	精巧的
corroboratory	证实
copious	丰富的
shroud	覆盖物
piggyback	在肩上
harmonistic	悦耳的
capsid	衣壳
expressible	可榨出
responder	响应器
fibrination	纤维素生长过多
current	气流
procuration	获
fulgid	闪耀的
human	人类
unobservance	不留心
moist	潮湿
mock	假
aja	日裔美国人
semiology	症状学
unduplicated	无法模拟
irreproachable	无过失
foal	生仔
inseverable	不可切断
bathed	沐浴
hooch	私运入的劣酒
germanious	含二价锗
phylesis	系统发育
chamber	房间
unpretending	质朴的
bulbaceous	=bulbous
galwegian	加罗韦人
epulotic	结瘢
spotty	多污点的
oeec	Economic
runway	斜坡跑道
epigonus	=epigone
nice	美好
cashboy	传递现款的小孩
revers	翻边
antidiuretic	抑制尿分泌的
nonage	未成年
anthography	花谱
slipstick	计算尺
compartment	车厢
whisper	密谈
mdclxvi	罗马数字
attack	进攻
unequable	不温和
razor	剃刀
fh	hydrant
sloop	单桅帆船
telengiscope	显微望远镜
halide	卤化物
polarizer	起偏镜
anoxic	缺氧的
elastic	弹性的
autoplastic	自体成形术
embryotic	萌芽期的
diminutive	爱称
vendace	白鲑鱼
fetch	吸引
biblical	圣经
homeward	向家
veadar	Sheni
confirm	批准
grimly	冷酷
roblitz	无人飞机的轰炸
apostate	变节者
deerstalker	猎鹿人
pear	梨树
uranous	含铀
wateriness	潮湿
petit	次要
bitterness	辛酸
organisation	=organization
tartrated	得自酒石的
quinoidine	奎诺酊
menservants	的复数
jaded	厌倦的
tabby	起波纹的
opponency	反对
discountenance	阻止
underlie	位于……之下
uncivilly	无礼
plane	平面的
ecdysis	蜕化
antilles	安的列斯群岛
mealanguage	元语言
soerabaja	=Surabaja
unhired	未雇用
wrong	道德不好
emulable	可赶上的
atoneable	=atonable
finback	长须鲸
paludrine	百乐君
superserviceable	过分殷勤
untorn	未撕开的
true	真实的
crown	使圆满完成
teleradium	远距镭照射
dropsonde	下投式探空仪
vilely	卑劣
livelihood	生计
bushelage	以蒲式耳计算的量
odorize	洒香水于
aforetime	早先
maternal	似母亲的
rocketry	火箭学
stupefactive	麻醉性的
chewy	耐嚼的
illimitable	无限
woad	用靛蓝染
angustifoliate	窄叶
monochromatic	单色的
noninflammable	=nonflammable
outward	外面
cancelation	=cancellation
closemouthed	嘴紧的
alkyl	烷基的
sedgeland	莎草地
wintertide	冬季
airwave	电视
snipe	被开玩笑的人物
hesperia	西方之国
phonographic	速记
northwesterly	位于西北方的
abjectly	卑鄙
isolating	绝缘的
ndea	Act
iamap	International
miaow	猫的叫声
fee	酬金
peasantry	农民
agroboy	=skinhead
urethroscopy	尿道镜检查
sobering	使清醒
hydromedusa	水螅水母
fruitery	贮存水果的地方
earthborn	尘世
absent	不在的
deliriant	呓语
decidual	蜕膜的
engagement	约会
