onfound	使混淆
choroid	脉络膜
unfordable	不能涉水而过
shiny	有光泽
exclusive	唯我独尊的
cold	寒冷
articulatory	分节的
whine	哀鸣
semidilapidation	半坍毁状态
bigness	伟大
orins	Studies
circumglobal	环地的
betacam	由SONY公司制定并生产
solubility	可解决性
vindication	辩护
primordia	primordium
preclassical	古典期前
bop	从容地走
half	部分
belabor	痛打
acquisitive	想获得的
electropolar	电极性的
precocial	早熟性的
congratulatory	祝贺
disfurnish	搬空
eau	水
scoff	嘲弄
out	下台
stroam	散步
froth	废物
upright	诚实
yelp	叫喊
fasciolar	小束的
ecce	瞧!看哪!
bosket	小树林
congenitally	天生地
pseudo	假的
vlaanderen	=Flanders
evangelicalism	福音派的教义
briarroot	=brierroot
scruple	有顾忌
inchoative	发端
triumvirate	三人执政
possie	职位
savourless	无情趣的
gunsmith	军械工人
yawey	雅司病
canned	一稿数用的
wail	嚎啕
laundryman	洗衣工
undiscussed	未辩论过
tyrannical	残暴的
raptatorial	肉食性的
compression	压缩
sandal	檀香
tootle	唠叨
unremitted	继续不断的
sophister	诡辨家
arbo	由节肢动物传播
vahana	伐诃纳
astable	不稳的
polarimetric	偏振计的
snippet	摘录
ticktack	滴答声
intravital	发生于活体内的
incontinent	不能自制的
fils	伊拉克、约旦、科威特等国的铜币
restate	重申
jeeringly	嘲弄地
seigneur	封建君主
tigrine	虎的
virgilian	维吉尔的
panmixis	随机交配
sacred	宗教
mean	普通
mantic	预言性的
fiftyfold	五十倍地
reforge	再造
asturian	阿斯图里亚斯文化的
devolute	移交
legality	法律上的义务
acupuncturist	针灸医生
ruhmkorff	coil
deduction	推论
holistic	整体的
memorialist	情愿书起草者
radiate	辐射状的
intervertebral	椎间的
diphenyl	联苯
centrosymmetric	中心对称的
pothanger	吊水壶的悬链
wright	建造者
pule	呜咽
annunciation	报喜
seastar	中国海星电脑集团
methodically	有系统地
orthocephaly	正头型
assonance	类韵
glial	神经胶质
unslaked	未满足的
www	World
discriminatory	有差别
austere	简朴的
vasopressor	血管加压的
tashkend	塔什干
conic	圆锥的
massify	使成整体
interdepartmental	各省间
imperscriptible	非官方
labial	唇
wolflike	狼似
eusocial	完全群居的
anharmonic	不调和
sink	沉下
shut	关上
agrophilous	栖耕
friz	卷曲
trigynous	具三雌蕊的
rhonchi	干罗音
haptical	由触觉引起
unalleviated	未减轻的
bellmouthed	钟口形的
command	博
roundsman	巡视者
organophosphorous	=organo机磷
talus	踝
leucotomy	前额脑白质切除手术
sprig	小枝状饰物
confab	会议
viole	da
pachydermatous	厚皮类动物的
unmeant	偶尔的
germina	种子
enring	围绕
puerperium	产后期
responsible	负责
basined	位于盆
horizon	地平范围
saharanpur	萨哈兰普尔
epistaxis	鼻衄
cycler	骑自行车者
brightsome	明亮的
divinatory	占卦的
baroque	巴洛克时期艺术和建筑风格的
crib	拘禁
superradiance	超辐射
effectual	有效
interprovincial	各省之间的
bergamot	香柠檬油
tomfoolery	无聊
civil	公民
adgb	Britain
lockeanism	洛克派哲学学说
ingeniously	有才能地
extragalactic	银河系外的
unspiritual	非精神的
dish	提出
circle	围
reradiative	再辐射的
short	浅薄的
comby	蜂巢状
fantasize	梦想
postnasal	鼻后的
mesial	中间
monogamous	一雌一雄
bubo	腹股沟腺炎
vitalism	生机说
newfangled	新制的
summit	参加最高级会议的
cerebrocentric	人格控制集中于脑
faggot	柴把
couchant	抬头伏卧状
irrespirable	不适于呼吸
blowtorch	吹管
bromouracil	溴尿嘧啶
parlance	说法
ferryboat	渡轮
fadedly	色彩已褪地
unenvious	不羡慕的
moil	辛苦工作
unenlightened	无知
unhuman	非人类
indented	锯齿状
polarisability	=polarizability
physiognomic	相术
multidialectal	能讲2种以上方言的
belaud	歌功颂德
insect	虫子一样
armadillo	犰狳
instructor	教师
kunashiri	国后岛
sheepkill	=sheep
obsolescence	荒废
terminus	终点
frank	Frank
retributory	=retributive
squanderer	浪费者
envoy	外交使节
illative	推论的
enduringly	永久
official	职务上的
sulfurize	使硫化
aftertime	将来
hpna	Phoneline
legend	传说
instinctive	本能
nitric	氮的
modesty	虚心
upbuilt	upbuild的过去式及过去分词
fenestral	如窗的
aggregative	集团
msj	in
dugout	独木舟
servomechanism	自动控制装置
