chrysograph	中世纪时代用金色或金银色墨水所写的文件
obligate	有责任的
achaetous	无刚毛
cephalometric	头部测量法的
slinkingly	偷偷地
wagnerism	瓦格纳音乐和理论的影响
criminological	犯罪学
surfboat	骑浪艇
dippy	昏头昏脑
diffractive	衍射
firecracker	爆竹
ramous	分枝
clonesome	无独创性的
hohum	厌烦
flintily	冷酷地
jeopardise	使受危险
outrow	划船胜过
uneventful	平静无事
noggin	少量饮料
clearway	超速道路
emiocytosis	细胞分泌
heracles	=Hercules
fold	交迭
homegrown	国产的
sperm	精子
imitability	可模仿性
crabbily	暴躁
souvlaki	kebab
gink	怪人
whiplike	像鞭子的
shut	闭上
weenie	微小
sweeping	扫除
whitebeard	白胡子老人
mastopathy	乳房病
radioconductor	电波侦测器
turkophobe	恐土耳其者
eib	European
macilent	瘦的
undomesticated	不爱做家务的
diocesan	主教管区的
photoactive	活的
starveling	饿瘦了的
nls	自然语言支持
localitis	局部利益症
hearty	强烈的
dollar	元
minification	缩小倍数
finitist	有限论的
kama	卡马河
diorthosis	整复术
substantive	独立存在的
raptatorial	肉食性
hip	喝彩声
paramagnet	顺磁体
recreancy	怯懦
insurgence	造反
calorigenic	产生热量的
anelastic	滞弹
governessy	家庭女教师似
overtime	使超时
stannous	锡的
stoppage	填塞
herculean	巨大的
viomycin	紫霉素
procephalic	原头
nesslerize	以奈氏试剂测量氨
undersurface	水面下
immelmann	turn殷麦曼
dittany	薄荷花的一种
vegetal	动植物共通的
inegalitarian	赞成不平等
wba	World
aauw	Association
lampblack	灯黑
unwashed	无知的
unmerited	不配的
soil	国土
befittingly	适宜地
tempestuous	暴乱的
emplacement	炮兵掩体
ambilingnal	精通两国语言
whatso	任何
preliberation	解放前的
grume	黏液
euryhygric	广湿性的
dugout	防空壕
standing	身分
psychodynamic	心理动力的
squirrely	疯狂的
feigned	捏造的
extremity	绝境
reckon	数
prelatical	高位者的
loader	装货的人
fetch	取
unsugared	不放糖的
vigor	精力
broomcorn	高粱
defiance	挑战
jowled	有垂肉
pandal	临时棚舍
hardtop	有金属顶盖的汽车
farce	滑稽剧
yet	但是
pothecary	药房
gainfully	有利益
doubtful	可疑
godwinian	戈德温派
aloof	远离
amusingly	有趣
unoiled	未涂油
septal	氏族
feedback	反馈
tricentenary	三百周年纪念
forwards	继续向前
lcm	Multiple
hinder	后面的
hasidism	哈西德主义
gunsight	瞄准器
bpc	British
drumlin	冰河堆积成的椭圆形冰丘
lrl	月球物质回收和回归宇航员检疫实验所
withal	而且
rapaciously	强取
posted	消息灵通的
mutafacient	诱变的
cowk	恶心
breakaway	分离
pundit	博学者
vinaceous	葡萄酒的
conglutinant	粘合的
ironwork	铁制品
mislay	放错
apartness	孤独
hmv	Voice"主人之声"牌唱片
slaughterous	好杀戮
eudiometrical	量气管
overlive	继续活下去
musky	有麝香味的
sanguine	满怀希望的
weighlock	衡闸
incredible	难以置信
ostler	马夫
xianggang	香港
lockless	无船闸
pigsticker	长刃折刀
canossa	卡诺萨
differentiable	可微
windfall	横财
disconcertedly	惊慌
dauphiness	王妃
ancient	远古的
space	间隔
remiges	飞羽
biro	圆珠笔的一种
terminal	终点站
obligate	有责任
nasally	鼻
authorization	授权
avalon	阿瓦隆
mandarine	=mandarin
reproduction	再现
interbang	问叹号
gram	克
juristical	法理学的
bivvy	小帐篷
lapsed	流失
exist	生活
mignonne	小巧玲珑的
anamorphic	变形的
airship	飞艇
flush	一手同花的五张牌
hemocyte	血细胞
flirtatious	轻浮
coenosarc	共体
beat	巡逻区域
helminthiasis	蠕虫病
tough	坚韧
great	崇高
hemispheroidal	半球体的
gutter	流
tyrannic	压制
soporose	催眠
intraperitoneal	引流过腹膜的
unmodish	=unfashionable
tessitura	声域
awol	leave
spue	呕吐
rink	溜冰场
crisply	易碎
removed	远离……的
fortunate	幸运的
heathenize	使成异教徒
kcb	高级巴思勋爵士
chirk	兴致好的
structureless	无结构
andorran	安道尔
dacron	涤纶织物
embryonated	含胚
eugenic	优生的
wainrope	大车绳索
municipalise	=municipalize
investitive	授予的
surveillant	监视者
unset	未安装的
ahd	heart
deliberative	协商的
rack	拷问台
handball	手球
quaver	颤抖
petrography	岩石记述学
threesome	三倍的
denunciation	谴责
slab	用石板铺
rhapsodical	狂想曲
import	进口
earthborn	人类
gaulish	法国人的
forever	始终
arises	出现
coccidioidomycosis	球孢子菌病
jcl	language
exhibit	展出
tamar	他玛
larynx	喉
uneven	不均匀
polje	灰岩盆
dazed	眼花的
pbx	private
demonetise	=demonetize
skibobber	雪犁运动员
gleety	慢性淋病性尿道炎的
bellyful	满腹
flibbertigibbet	饶舌的人
encomiastic	赞颂
microcrystalline	微晶
minacity	威胁性
pregenital	性前期
conic	圆锥
wart	讨厌的人
reversion	回复
concutient	受到震荡性撞击
diffractive	衍射的
zoophilic	爱护动物
language	语言/国家
philosophy	哲学体系
drumbeating	广告
amtract	小型水陆两用登陆车
