disunionist	分离主义者
replenishment	补给
ineradicable	不能根除
grolier	格罗里埃式装订的
gyroscopic	回转仪
radular	齿舌的
amass	收集
katalysis	催化作用
homy	家庭般的
rummager	搜查者
gracious	高尚的
ability	能力
glm	method
lyricize	用抒情手法书写
ecdysone	蜕化素
misdeal	发错牌
suggest	暗示
segmentalize	分割
condolence	哀悼
augmentative	有增加力的
comtian	孔德
fibrous	纤维性
gymnocarpous	裸果
upgrade	改良品种
quint	五度音
routineer	墨守成规者
decumbent	横卧的
exopathic	病因在体外的
great	顺利地
morphiomaniac	吗啡中毒者
sabotage	从事破坏活动
counterview	反对意见
labdanum	岩茨脂
dictum	格言
counterfactual	反事实的
xylographic	木刻
hook	上瘾
crossbelt	斜挂在肩上的皮带
savage	未开化
endsville	最好
scent	嗅
ssa	Administration
recreant	怯懦
viennese	维也纳文化
syllabi	判决理由书的要旨
overnight	头天晚上
disharmonic	奇形怪状
unprinted	未印出
azygos	单一器官
corymb	伞状花序
swahili	斯瓦希里人
fixt	fix的过去式及过去分词
plump	坦白
unfelt	无感情
figurehead	有名无实的领袖
pomposo	华丽
bros	兄弟
fumy	多蒸汽
adgb	Air
deplorably	可叹地
flow	川流不息
unimproved	未耕种
hindward	往后
investigative	好研究的
promotional	奖励的
fulminatory	雷鸣
hepburnian	Hepburn式
fourpenny	四便士
clistogamy	=cleistogamy
blameful	该受谴责
whence	拒此
downhearted	闷闷不乐
pastiche	混成曲
hebrewwise	从右向左
catechetical	问答式
snowslide	雪崩
explosive	炸药
impress	印
correct	正确的
hydrostatic	流体静力学的
atelier	画室
residuary	剩余
ultramarine	海外
waterworn	被水冲蚀的
forehold	前舱
begrudgingly	吝啬地
photoscope	透视镜
exoculation	挖眼
metempirical	超经验论
elfin	象小妖精的
affectionate	挚爱的
brominate	用溴处理
uncanny	离奇
setter	安装员
mentality	智力
bay	使走投无路
ashikaga	足利
overskirt	罩裙
anesthetic	麻醉剂
tome	本
unshackle	释放
infinitesimal	无穷小的
graininess	粒状的
cirriped	蔓足类动物
priory	小修道院
amesace	=ambsace
duchy	公爵领地
connoisseurship	鉴赏家力
flap	掷
repository	仓库
historic	历史上著名
accredited	可接受
zigzag	Z字形
pug	哈巴狗
actinism	光化作用
costmary	艾菊
mill	磨细
flopper	雏水鸭
supposal	推测
festally	如节日地
parliamentarian	议会的
picaresque	歹徒
hindermost	最后面
faithful	可靠的
inexpectant	不期待的
installant	任命者
membranate	膜的
local	局部的
inversely	相反
uigur	具有维吾尔人的特点
chicklet	少妇
upswell	鼓起
blatant	炫耀的
asiatic	亚洲的
wud	发疯
biosynthesize	用生物学方法合成
repellancy	=repellence
miserable	悲惨
pantechnicon	家具搬运车
gargle	漱口药
dizygous	两受精卵
wettable	可霑的
isohel	等日照线
multipartite	分成多部份
bridle	上笼头
jostle	挤
ascosporic	囊孢子
squiggly	弯弯曲曲的
methoxyflurane	甲氧氟烷
consortia	银行团
chasmal	深陷
euripus	急流海峡
hellward	向地狱
shrewish	泼妇一样
haymaker	制作干草的
ease	使悠闲
gemel	双生
carelessly	粗心
fairly	公平地
sheeplike	温顺的
sloot	=sluit
australian	澳洲
fulmination	爆发
natural	简单自然
viole	viola
exactitude	规规矩矩
ngoma	恩戈麦鼓
state	国家
fibrilla	小纤维
fly	敏捷的
insupportably	不能忍受
trochometer	车程计
dianetic	排除有害印象精神治疗法的
allan	艾伦
threatening	危险
catching	迷人
tailpiece	附属物
fiberglass	玻璃丝
circuit	一圈
listeriosis	利斯特氏菌病
landrace	长白猪
blinding	使眩目的
mortification	动物体组织局部的坏死
wordy	冗长的
abroad	到处
pat	轻拍
gallicism	法语特有的语法
paper	象纸的
marketable	适于销售
impayable	无价的
straitness	狭窄
exhume	掘出
szeged	塞格德
mrcp	the
axillary	腋窝的
capri	卡普里酒
waxen	苍白的
picocurie	微微居里
psychochemistry	精神化学
celticist	凯尔特语言专家
currant	葡萄干
under	在下
boiling	激昂的
unfeeling	无情
fail	辜负
knitting	针织
devise	作出
bundobust	细节的落实
inosculation	接合
usng	美国国民警卫队
hypercautious	过于小心
aesthetic	美学
felspathic	长石
enrich	浓缩
twinkling	转瞬
kushitic	古西地克语
consanguineous	血亲的
fanged	有尖牙
intraperitoneal	引流过腹膜
colourably	似是而非
thwack	强打
playmobile	玩具车
break	违犯
peppy	精神充沛的
terror	恐怖行动
beery	啤酒
parturient	临产的
fennec	一种非洲产的大耳小狐
mirky	黑暗地的
cowpoke	牧牛工
isdn	综合业务数字网
gigametre	千兆米
jcl	job
hitchy	蹒跚
fogbound	因浓雾而进退不得的
humify	使潮湿
puberulent	被微柔毛的
