colophony	松香
guidance	指导
hubris	骄傲
moonshiner	烈酒私酿者
at	在……方面
chloridize	涂氯化银
oaten	燕麦的
aspect	样子
anlage	倾向
will	意向
electrolyte	电解
vmd	Medicinae
mao	monoamine
nomenclative	术语
loneliness	孤独
bmw	德国宝马汽车公司
unspent	仍有效的
coppery	铜制的
venomous	狠毒的
bouquetin	北山羊
wane	衰退期
boshbok	=bushbuck
succedaneous	替代的
uniplanar	单面延展
pyrotechnical	烟火装置
scenic	景色优美的
rvsvp	vite
poesy	作诗法
denunciator	非难者
propagandistic	宣传的
orthographic	正字法
zincous	阳极
sweeping	垃圾
anthropological	人类学上/人类学上
goodman	男人敬称
bir	of
dissimulation	虚伪
diametric	正相反的
retort	曲颈瓶
jsd	Doctor法学博士
hideous	可怕的
superfluid	超流体
unquelled	未被镇压的
striated	有线纹
resolutely	毅然
myxoid	黏液样的
ulterior	在那边的
somerville	萨默维尔
cultivated	有教养
unabroken	完整的
eyeblack	黑色眼睑膏
shift	改变
arborescent	树木状的
prearrange	预先安排
spook	鬼怪般地出没于
cent	分币
menispermaceous	防己科
saturnic	铅毒
chasmophyte	在石缝中生长的植物
slimly	微弱
dayle	黛尔
ofris	Old
gruesome	可憎的
bassist	低音乐器的演奏者
echo	回音
conclusive	确实的
toddle	蹒跚学步
posnet	金属锅
analysable	可以分析的
pastorale	田园曲
antilyssic	预防狂犬病的
rau	自动装置组合单元
undermeaning	隐藏的意义
callisection	麻醉动物解剖
maturity	完备
entomic	昆虫
crabwise	横斜地
wolfy	似狼的
eschew	避开
snallygaster	斯纳利加斯特
zoroastrianism	火教
exserviee	退伍的
inextirpable	无法根除
salmanazar	大酒瓶
dopehead	常用鸦片者
undrape	揭幕
lewisson	吊楔
hydromedusan	水螅水母的
viceroyship	职权或辖区
eurithermophile	适广温细菌(fIlIk/
playbox	个人玩具用品箱
ballistic	弹道学
austere	严峻的
ralline	秧鸡科的
underkeeper	助理管理员
dino	流浪汉
stud	散布
blundering	易犯错
html	Markup
flit	迁徙
cern	physics
reservedly	客气
thersitical	谩骂
glossolalia	语意不清
blackfish	黑鲸
routh	大量
extant	突出的
short	矮
eudiometric	空气纯度测定管的
mustardy	有芥末味
homoousion	本体同一论
piquant	顽皮
jesuitical	虚伪的
onus	责任
riotous	暴动
catwalk	狭小通道
cribellum	辅助吐丝器官
repartee	巧妙的应答
pluvian	下雨
quadriad	四个一组
aid	帮助
ritually	仪式上地
discomposure	不安
washday	洗衣日
upgrade	使升级
santour	=santir
glutaraldehyde	戊二醛
annullable	取消
tenor	大意
firry	冷杉木制
unredeemable	不能收回
gentilesse	温柔
tramp	重步行走
estate	状态
insectual	小虫子似的
unverifiable	无法核实
geologic	地质上的
beaufort	波弗特海
rhyme	押韵的词
hearthstone	砌炉的石块
break	超过
monostomous	具单口
distinguished	卓著
racketeer	获取不正当钱财的人
forestall	阻碍
artistically	有艺术地
suprathermal	超热的
calcicolous	钙生的
minutiose	关心小事
acetylcholinesterase	乙酰胆碱酯酶
allopatrically	在不同地区发生地
tetrabranchiate	四鳃的
devotement	虔诚
slickness	光滑
alterative	变质剂
indigen	本地人
polonize	使成波兰风格
spud	马铃薯
enterpriser	工商业投机家
uncharming	缺少魅力
thoro	彻底
regreet	回敬
audiology	听力学
improvvisatrice	女即兴创作者
hatful	很多
goodwife	女主人
gotha	哥达
activism	触动论
wassermann	test
bant	节食减肥法
daintily	难以取悦地
sprout	苗芽
vernalize	以人工方法促进发育
corruptible	易腐败的
con	反面
unwarned	未受警告的
tabasco	塔巴斯哥
unconsolidated	松散的
capsular	蒴
contoid	像辅音的声音
afs	Auxiliary
villainy	邪恶
pathogenic	病原
interspace	空隙
conchologist	贝壳学者
religionise	=religionize
scoundrel	无赖
tartarous	酒石似
unfaithful	不诚实的
logaoedic	由混合韵律组成
expanding	扩大
beniseed	=benniseed
erasion	消除
silklike	丝状
froggy	蛙
honorable	荣誉的
blazing	强烈的
mas	for
disgust	厌恶
decently	正派
aok	极好的
breeding	教养
munnion	=mullion
multilane	多车道
minamata	水俣病
antifederalism	反联邦制度
introducing	介绍
schoolyard	校园
austere	严峻
stale	不新鲜
teleprompter	读稿机
zoanthropy	变兽妄想
hyperkeratosis	眼角膜细胞增多
feign	假装
slouchy	没精打采的
disembarrassment	使免于困窘
slipslop	乏味的酒
capriciously	任性
oenology	酒类研究
inclip	紧握
fend	保护
borrowed	伪造的
teletypesetter	电报排字机
perimorph	被壳矿物
omega	最后
intramural	校内的
