insectivorous	食虫动植物的
intuitionism	直觉说
juliet	朱丽叶
superincumbent	在上面
photoionization	光致电离
wound	伤
convert	转换……
untruthful	爱说谎
paunch	剖腹
pecorino	佩科里诺干酪
new	更新的
merogony	卵片发育
despumation	取去浮泡
vauntingly	吹嘘
pedometer	步数计
departmentalise	分成部门//departmentalize
gozzan	=gossan
wristwork	手腕动作
projective	投影
practicum	实习科目
braille	盲人用点字法
commonplace	平凡
keratoderma	角皮病
discursive	散漫
stuma	不安
skeptical	好怀疑
palpable	可触知
dunbarton	丹巴顿郡
meatpacking	肉类加工业
unclarity	不清晰
darkling	令人可怕
porket	乳猪
inauthoritative	非权威
circumplanetary	围绕行星
lah	长音阶的第
metepa	甲基涕巴
cuetrack	轨
almacantar	=almucantar
integrate	求……的积分
choice	上等
hydrothorax	水胸
interocular	两眼间
armour	装甲钢板
baptismally	洗礼地
omnimane	每天早晨
whys	理由
spirit	鼓舞
daintily	难以取悦
comous	多毛的
pietistic	虔信派的
bicker	口角
parenthood	父母身份
expressive	有表现力
vibrancy	振动
differentiate	区别
awny	有芒的
jake	满意的
cupping	拔火罐
exposure	揭发
roughhewn	草率
basion	底穴
inauthenticity	伪造
maximum	最多
whipstock	鞭柄
cherry	如樱桃的鲜红色
aggrieve	侵害
struggle	使劲移动
foliose	多叶的
capacity	容量
debater	讨论者
aerolith	陨石
treasonous	不忠的
manual	手册
abstruse	深奥的
misplug	误塞
mythopoeic	神话时代
salchow	后内结环一周跳
nucleophilic	亲质子的
coleopterous	鞘翅类
pliably	圆滑
myob	business
entophytic	内生植物
religion	信仰
transmit	传达
rubrical	仪式指示的
quadrifid	四分裂的
sphacelous	患脱疽
msbc	in
furor	激怒
hemophilioid	类似血友病
unfurl	展开
bleak	荒凉
enormously	非常
tripodal	三脚架
herbescent	草本
ultralight	超轻型
lapse	丧失
unpitying	无恻隐之心
adjournal	=adjournment
mudslide	徐缓黏滞泥流
pubic	阴毛的
brusquely	粗率
accelerate	加速
joyuce	James
trilithon	巨石牌坊
suprahuman	=superhuman
laches	懈怠
elk	麋鹿
without	要没有
phenolic	石碳酸的
embodiment	化身
commute	整流
competently	胜任地
subeditor	副主编
refill	新补充物
azedarach	楝皮
gerontophil	亲老人癖的
upright	正直的
saltire	X形十字
turn	旋转
chubby	圆胖的
alterability	可变更性
featherless	无羽毛的
leze	majesty=lese
pickerelweed	一种多年生植物
windless	喘不过气
paraphrastic	说明性
skidproof	防滑的
billposter	受雇张贴广告者
it	意大利
transphosphorylation	转磷酸
lordling	大人
shadowed	附有阴影
malone	即
drencher	倾盆大雨
underpaid	所得报酬过低的
coattail	燕尾
unaccompanied	无随从的
felix	费利克斯
matelot	水手
incunabula	摇篮期
political	政治
outmarry	使在婚姻上高攀
benefit	好处
arhat	永入涅槃再受生死果报的僧人
equitably	公正地
unmortise	使脱榫
jo	爱人
milimeter	千米
nonagricultural	非农业的
battlement	防卫墙
distractingly	发狂似
cachinnatoria	放声大笑的
endodontist	牙髓学
adipose	肥胖
suckle	养育
uniform	统一的
paleocrystic	长期冻结
begrimed	污秽的
demiurge	造物主
adhesive	粘合剂
yarnsmith	作家
laudatory	赞赏的
synodal	教会会议的
rebarbarize	使回到野蛮时代
dst	Drive
triliteral	三字母
themselves	他们亲自
vanuatuan	瓦努阿图
amphitheater	古罗马的圆形剧场
betrothal	订婚礼
gk97	金山游侠
khalifate	哈里发的职位
paracetaldehyde	=paraldehyde
amelioration	改进
park	炮场
vacuum	真空吸尘器
typhonic	台风的
patripotestal	以父系亲属委员会为权威的
huxley	贺胥黎
daily	日常地
piscator	捕鱼人
invariable	永恒
seriously	真诚地
unforgiving	不可宽恕的
indonesian	印度尼西亚人
abominable	讨厌的
dud	衣服
clavicular	锁骨
heliology	太阳学
telemetric	遥感勘测
exhibition	展览会
hypostasis	本质
mercantilist	重商主义者
accordable	可一致
unfamiliar	没有经验
carlish	卑下的
remember	纪念
plesser	敲诊槌
taphouse	酒馆
jugula	jugulum的复数
specific	特殊的
parasang	古代波斯的距离单位
humourless	一本正经
discomfiture	崩溃
infinitesimal	无限小
fodgel	丰满健美的
melancholia	精神忧郁症
wont	惯于
bailsman	保释保证人
leakiness	易漏
commercioganic	吸引力
panthalassa	泛古洋
cytogenetical	细胞遗传学的
delicate	精致
aboil	沸腾
multipartite	分成多部份的
graduate	毕业
overfreight	超载
nitre	硝石
trimness	整理
racquetball	手球式墙球
acidfast	抗酸
sphenographic	楔形文字的
diminishable	可缩减的
rameses	拉美西斯
atman	生命的本源
unreachable	不能达到
subdividable	可再分
rann	National
twitch	抽动
rounding	环绕
din	喧闹
deepwater	海洋上
assaultable	可袭击的
swank	炫耀
vespers	晚课
bytecode'	NULL)
attestant	连署人
atlanta	亚特兰大
