traveling	滑动
fraternise	=fraternize
buffoonery	打诨
riffle	涟漪
hullo	招呼用之呼喊声
sparkler	闪烁发光物
luck	运气
buhr	硅质磨石
fatherhood	父亲的身份
successional	连续性
pivotal	关键的
gwyn	格温
cornily	带乡下味
speedway	高速公路
barramundi	=barramunda
polemologist	战争研究者
anaclitic	情感依附的
legalist	形式主义者
lactescent	乳汁状的
juju	物神
steep	急剧升降的
unbodied	无实体的
shapeless	无定形的
rijeka	里耶卡(旧称阜姆
sea	海洋
iphigenia	Agamemnon之女
dishoard	抛售
defluent	向下流
causse	喀斯
microinjection	显微注射
impromptu	即席
exciting	使人激动
culpable	该责备
dysfunction	机能不良
poplar	白杨木
secondhand	间接听来
thoughtfully	仔细地
neutrality	中立
gargoylism	承溜口病
theocrat	神权统治者
reoccupation	收复
network	网状物
sothiacal	=Sothic
fix	牢记
evitable	可避免
acquirement	习
miseducate	的教育
paoting	保定
parapodium	侧足
polyarthritis	多发性关节炎
effectual	奏效的
opec	Petroleum
intimacy	隐私
traymobile	手推托盘车
linebreeding	同种异系交配
broad	宽阔
tongs	夹具
outwalk	追过
arctic	北极区的
mentality	精神
kraut	德国人
blockhouse	碉堡
airslake	风化
broadcast	广播
herring	鲱
upcast	向上抛
buildup	形成
traumatic	外伤
flowery	多花的
mammonite	=mammonist
repetend	反复语句
broadside	舷侧
circlewise	环形地
inquietly	焦急地
regular	常备军
present	瞄准
upheaval	剧变
confer	协议
watercart	卖水车
plastron	胸甲
en	N
workbook	业务手册
ascolichen	囊菌地衣
zoogloea	细菌凝聚团
retransfer	转移到原状
skibob	雪犁
kinetosis	运动病
csce	and
rootle	挖掘
jobber	股票经纪人
tangshan	唐山
erotogenic	性感应区的
coi	of
savourily	有味道
batonist	指挥
dryly	枯躁无味
blasphemer	亵渎者
font	泉
promiscuity	尤指男女乱交
worldling	俗人
atheistical	无神论
odontologic	牙科学的
sensitive	灵敏
scye	袖孔
admission	承认某事之陈述
ebony	黑檀
recessionary	衰退的
fearless	无畏
suzerain	国群主
cellulated	由细胞组织成的
hoofed	装蹄
freak	反复无常
dermoskeleton	皮骨骼
chlorophyllous	叶绿素
ungrounded	无扎实基础
ranseur	三叉矛
symbolism	符号论
corroboration	确证
procurator	代理人
sandiness	沙质
urinoir	公共小便处
bedlamp	床头灯
shuba	长皮大衣
medical	体格检查
transracial	异族间的
cyrtostyle	圆肚门廊
bourbonism	波旁皇族之拥护
heyday	年富力强时期
procryptic	具保护色
unmurmuring	不发牢骚
reprieve	缓刑暂缓
sesotho	塞索托语
interrogative	表示疑问
celsius	摄氏的
epidermolysis	表皮松解
vulva	孔
oceanity	=oceanicity
ludic	顽皮的
collocable	可搭配的
mavourneen	宝贝
ethnogeny	人种学
collarless	无马轭
indagator	研究
panocha	墨西哥的粗糖
wenny	=wennish
teniasis	=taeniasis
incomprehensibility	测
abri	避难所
assizes	巡回审判
drowsily	昏昏欲睡
cloistral	孤独
plf	foot
votable	能投票
calypsonian	唱calypso歌曲者
religiose	狂信的
horner	吹号角的人
vintage	最佳的
praiseworthy	值得称颂
koromiko	类似慈菇的草木
prosper	成功
egotistical	任性的
forgiveness	宽仁之心
scoreless	没得分
rhinostegnosis	鼻阻塞
salse	泥火山
lovestruck	热恋中的
holobenthic	终生在海底或靠近海底生活的
impeccant	无罪过
stipulate	规定
unsensible	无知觉的
pescara	佩斯卡拉
managing	节约的
syrup	果汁
mede	米堤亚人
ream	大量的纸
unoiled	未涂油的
lapm	Access
drossy	铁渣的
mony	=many
cytosol	胞液
immanent	无所不在
yippie	雅皮士
dastard	畏缩
junk	垃圾
orca	兽人
hid	Display
necklet	皮围巾
mitigant	减轻的
ensue	继起
slavonize	使斯拉夫化
transfusional	输血引起
xvii	17
radiolucency	射线透射性
outrun	逃脱
gasping	喘气
voluminal	容量
obligingly	亲切
cobbra	头盖
prophylactic	预防疾病的
prefect	各类官员
beefalo	s)
semicivilized	半开化
sillar	未固结火山凝灰岩
haslet	内脏
counterdrug	解瘾药
scalar	分等级
lusterless	没有光彩
striking	惊人的
champignon	食用香草
rotfl	Laughing
defray	支出
isd	Subscriber
southpaw	用左手的运动员
gutturalize	使颚音化
rediscount	重贴现后的票据
diffuser	散布者
overclothes	罩衣
keltic	凯尔特人
perennate	多年生长
ugric	=Ugrian
byplot	旁节
cytophysiology	细胞生理学
epuration	肃清
overcapitalization	投资过多
unfixed	放松了的
tephigram	温熵图
ultraclean	超净
irrationally	不合理
