bier	棺材架
insole	鞋内底
triphthong	三重元音
cowitch	=cowhage
embog	使不能动弹
sextant	六分仪
combination	化合
indistributable	不可分配的
usefulness	有效性
saxicolous	岩生的
boughten	买来
tridentate	有三齿的
obviate	回避
subsynchronous	亚同步的
figuration	外形
koodoo	纰角鹿
lipping	唇形变
agrometeorological	农业气候的
laa	light
fastidious	苛求的
numerously	无数
philosophy	哲学
twigged	有嫩枝的
prejudicious	不利
monocrystal	单晶
flunkey	谄媚者
pervert	反常
shat	的过去式或过去分词
thanatophoric	导致死亡的侏儒症
superimpose	双重
transilient	骤变的
compartmental	区划
solicitudinous	挂念的
decretal	法令
parvus	小的
headstrong	不听命令的
mythologise	=mythologize
azo	含氮
furuncle	疖
lipsticky	搽满口红
depletory	放血
unheroical	胆怯的
unweakened	未削弱的
unprompted	自发
hsaa	Award
tripy	=tripey
future	未来
around	四处
moot	大会
incarnate	使具体化
crusher	打击
pyonephritis	脓性肾炎
assessable	可征收的
aneroid	无液
unsurveyed	未测量过
immolator	供奉牲礼的人
hexad	六价原子
amrita	长生不老的仙露
uproot	连根拔起
toric	环形圆纹曲面的
hyperostotic	骨肥厚的
accessibility	可到达的
multifactor	多因子
kickback	酬金
aurantiaceous	似橘柑的
perjured	犯伪证罪的
intersection	交集
scalp	剥头皮
sympatric	同域
lightweight	轻量级选手
flourish	茂盛
clement	和蔼
sofar	水底测音装置
intersected	分割
stream	流
ulva	石莼
trinitarianism	三位一体之教理
lashing	鞭打
ethan	伊桑
broider	刺绣
venospasm	静脉痉挛
decompress	减压
nannyish	一本正经的
parturition	生产
stream	溪
milord	老爷
sonobuoy	声纳浮标
hemagglutination	使红血球`neIFEn/
unreversed	未撤销
ser	液量的单位
cumbrous	累赘的
postnasal	后鼻
taaffeite	铍镁晶石
exclamatory	惊叹的
tetrapolis	四城镇城邦
heterozygous	杂合
charmless	无吸引力
turgescence	夸张
lousy	污秽的
pittance	少量
herpetic	疱疹
depauperize	使免于贫困
flanger	排雪板
shaky	震动
saltish	微咸的
acetum	醋
cose	聊天
outstep	超过
xenocentric	喜爱外国之文化的
epochmaking	划时代
millionaire	百万富翁
humorous	想入非非的
cephaloid	形状像头的花
rhythmical	节奏
hoariness	灰白
rontgen	X光的光量单位
antechoir	教堂唱诗班座席入口处
otaru	小樽
rink	溜冰
shellless	无硬壳的
electroacoustic	电声裞s/I9lektrEJE`kUstIk/
isapi	Application
infinite	无数
bioinstrumentation	生物仪器
resinoid	象树脂
wgmc	WGmc
polarization	两极化
hedge	用树篱围住
pergola	凉棚
roose	称赞
lessen	减少
glycolipid	醣脂类
fenitrothion	杀螟硫磷
stub	用突了的笔
nobody	没有任何人
service	仪式
sourdough	拓荒者
universalize	使一般化
prospectus	内容说明书
unhinge	拉开
drillion	无限大数目
extravehicular	/
psia	per
confoundedly	十分
epicyclic	本轮的
correlate	使相互关联
flextime	弹性上班制
balsas	巴尔萨斯河
interzonal	地区间的
punishable	该罚的
spellbound	出神
regeneratress	女改革者
motoscafo	汽艇
finfish	=finback
postharvest	收割期后的
javan	爪哇人
anathematize	诅咒
verve	活力
millionfold	百万倍的
punctuation	标点符号
windless	无风的
smorgasbord	瑞典式自助餐
eyespot	眼状斑纹
impious	不虔诚的
libelous	用言语中伤他人
sapphiric	像蓝宝石的
subchloride	碱式氯化物
seasoned	老练的
banlieue	郊区
elide	取消
canonically	照宗规
inaugural	就职演说
sunlike	辉煌的
goldfield	金矿区
sperm	精液
symmetric	均衡的
glaciation	冰河作用
radiograph	拍射线照片
haubergeon	中世纪的无袖衣
larghettos	稍宽广
soporific	想睡的
antisexist	反对歧视女性
travelling	旅行
nur	of
symmetrophobia	反对称
valletta	瓦莱塔
arrantly	声名狼籍
flank	守侧面
polygamy	一夫多妻
pluuiose	雨量多的
remedy	治疗
penetrable	可穿透的
inby	朝内
frailty	意志薄弱
marquee	华盖
avp	Antivirus
megamachine	巨大机器
mortarman	迫击炮手
frse	Fellow
whomever	pro
mosquito	蚊子
lightly	轻松地
appendiculate	横节状
still	更
front	态度
cardiac	心脏的
kit	工具箱
motorcoach	=motorbus
hydrographic	与水道测量有关
chicano	奇卡诺人
moulmein	毛淡棉
mace	肉豆蔻树
wipo	World
intersensory	多感官的
unsmart	不洒脱的
camisard	十八世纪初反叛法王路易十四的法国新教徒
ile	表示"能"
expend	支出
kickoff	开始
factionary	派别成员
basement	墙脚
excision	删除
trinitarian	三位一体
covered	隐蔽着的
submission	屈服
heptahydrated	七水混合物的
extended	长期
editioprinceps	初版
parfocal	等焦面
defer	使推迟
stickjaw	粘牙的糖果
plantsman	苗圃工作者
thalassic	海湾
secularism	凡俗之心
